Prod_name,Prod_brand,Prod_price,Prod_disc,price_category
Notebook Asus E410ka 14  Intel Celeron N4500 4gb 64gb W11,ASUS,349999,11% OFF,Low
Notebook Kelyx 16  Ryzen 3 3200u 8gb Ram Ssd 256gb W11h,Other,498699,10% OFF,Low
Notebook Lenovo Intel Celeron N4500 4gb 128gb 14 W11 Grey,LENOVO,644999,37% OFF,Medium
Notebook Acer Aspire Lite Al15-41 Amd Ryzen 7 5700u 16gb Ram 512gb Ssd Graficos Integrados Radeon 15.6'' 1920x1080px 60hz Teclado Ingles Windows 11 Home Color Plateado,ACER,1348999,25% OFF,Medium
Notebook Exo Smart T38 Intel N4020 4gb Ssd128gb Windows 11 Color Gris,Other,553845,39% OFF,Medium
Netbook Exolite L1 Intel Celeron N4020 8gb Ssd 480gb Linux Color Negro,Other,449999,23% OFF,Low
"Notebook Lenovo Ideapad Slim 3 15,6 Ryzen 5 8gb 512ssd W11 Color Azul",LENOVO,1179999,27% OFF,Medium
Notebook Asus Vivobook Go 15 Intel Core N100 128gb 4gb E1504ga-bq346w,ASUS,732050,53% OFF,Medium
"Notebook Lenovo Ideapad Slim 3 15,6 Ryzen 3 8gb ram 256gb Ssd Windows 11 Home Color Azul",LENOVO,1299999,44% OFF,Medium
"Notebook Asus Vivobook 15.6 Intel Core I3, 8gb De Ram, 128gb Ssd, Pantalla 15.6 Full Hd, Windows 11, Color Negro",ASUS,845999,31% OFF,Medium
Notebook Exo Xq3j-s3182 Intel I3-12va 8gb Ssd 256 Gb Fhd W11 Color Gris,Other,883116,25% OFF,Medium
"Notebook Hp 255 G10 Amd Ryzen 5 7530u 32 Gb Ddr4-sdram 1 Tb Ssd 39,6 Cm (15.6) 1366x768px Amd Radeon Rx Vega 7 Wi-fi 6 (802.11ax) Windows 11 Home Color Gris Ceniza Oscuro",HP,1511699,29% OFF,Medium
"Notebook Aspire Go Intel i3 N305, DDR5 8Gb Ram, 128Gb SSD, Pantalla 15.6"" Full HD, Windows 11 (AG15-31P-3947)",ACER,989999,36% OFF,Medium
"Notebook Hp 14-em0001 Ryzen 3 7320u 8gb 256gb, 14"" Fhd Color Azul Claro De Luna",HP,1205999,40% OFF,Medium
Notebook Hp 15-fc0004la AMD Ryzen 3 8gb 512gb Windows 11 Home,HP,1260999,36% OFF,Medium
"Notebook Hp 255 G10 Amd Ryzen 7 7730u 16gb 512gb 15,6'' Fhd Windows 11 Home",HP,1485999,22% OFF,Medium
"Notebook Acer Aspire Ryzen 7 5700u 16gb 512gb 15,6' Fhd Gris Color Plateado",ACER,1096499,No discount,Medium
Notebook Noblex N14x1010 14.1 Hd Intel Celeron 4gb/128gb Ssd,Other,695999,42% OFF,Medium
Notebook Hp 14-ep1002la Intel Ultra 5 125h 8gb 512gb W11h,HP,1911999,47% OFF,Medium
"Notebook Lenovo Ideapad 1 15IAU7 Pantalla Táctil Fhd De 15,6 Pulgadas Core I3-1215u 8 Gb De Ram Ssd De 256 Gb Gris Nube",LENOVO,1149890,24% OFF,Medium
"Notebook Hp Amd Ryzen 5 7520u, 8gb Ram DDR5, 512gb Ssd, Pantalla 15.6"" Full HD, Windows 11, Color Silver",HP,1331249,38% OFF,Medium
"Notebook Asus Vivobook 14 Intel Core I3 1215u, 8gb De Ram, 128gb Ssd, Full Hd, Windows 11 Home",ASUS,764999,No discount,Medium
Notebook Enova 14 Celeron N4020 Ram 4gb Ssd 128gb Negro,Other,333899,10% OFF,Low
